instance,category,density,p,h,flights,heuristic_assigned,heuristic_unassigned,milp_status,milp_runtime_s,heuristic_runtime_s,hardness_score
I11_density=0.5_p=8_h=7,easy,0.5,8,7,28,28,0,infeasible,1.89,2.02,0.35
I12_density=0.65_p=8_h=7,easy,0.65,8,7,36,36,0,infeasible,1.79,1.89,0.39
I21_density=0.5_p=10_h=10,easy,0.5,10,10,50,50,0,infeasible,2.0,2.0,0.408
I13_density=0.8_p=8_h=7,easy,0.8,8,7,45,45,0,infeasible,1.9,1.98,0.432
I22_density=0.65_p=10_h=10,easy,0.65,10,10,65,65,0,infeasible,2.08,1.92,0.458
I14_density=0.95_p=8_h=7,easy,0.95,8,7,53,53,0,infeasible,1.93,1.94,0.473
I31_density=0.5_p=12_h=14,easy,0.5,12,14,84,84,0,infeasible,2.51,2.08,0.487
I23_density=0.8_p=10_h=10,easy,0.8,10,10,80,80,0,infeasible,2.43,1.99,0.507
I32_density=0.65_p=12_h=14,medium,0.65,12,14,109,109,0,infeasible,2.72,2.05,0.549
I24_density=0.95_p=10_h=10,medium,0.95,10,10,95,95,0,infeasible,2.43,2.13,0.557
I25_density=1_p=10_h=10,medium,1.0,10,10,100,100,0,infeasible,2.55,2.02,0.574
I15_density=1_p=8_h=7,medium,1.0,8,7,56,55,1,infeasible,1.9,2.0,0.607
I33_density=0.8_p=12_h=14,medium,0.8,12,14,134,134,0,infeasible,3.23,2.2,0.612
I41_density=0.5_p=16_h=18,medium,0.5,16,18,144,144,0,infeasible,3.83,2.25,0.614
I34_density=0.95_p=12_h=14,medium,0.95,12,14,160,160,0,infeasible,3.44,2.37,0.676
I35_density=1_p=12_h=14,medium,1.0,12,14,168,168,0,infeasible,3.75,2.26,0.697
I42_density=0.65_p=16_h=18,hard,0.65,16,18,187,187,0,infeasible,4.9,2.46,0.701
I51_density=0.5_p=20_h=21,hard,0.5,20,21,210,210,0,infeasible,7.77,2.34,0.745
I43_density=0.8_p=16_h=18,hard,0.8,16,18,230,230,0,infeasible,7.05,2.55,0.787
I52_density=0.65_p=20_h=21,hard,0.65,20,21,273,273,0,infeasible,11.78,2.53,0.858
I44_density=0.95_p=16_h=18,hard,0.95,16,18,274,274,0,infeasible,10.29,2.62,0.875
I45_density=1_p=16_h=18,hard,1.0,16,18,288,288,0,infeasible,10.46,2.6,0.903
I53_density=0.8_p=20_h=21,hard,0.8,20,21,336,336,0,infeasible,17.97,2.7,0.97
I54_density=0.95_p=20_h=21,hard,0.95,20,21,399,399,0,infeasible,34.26,3.03,1.083
I55_density=1_p=20_h=21,hard,1.0,20,21,420,420,0,infeasible,42.54,3.11,1.12
